# REAL DATA, EHT 2019 M87* image (ESO press release)
# Generated by: /scripts/fetch/eht_m87_to_csv.py
# To regenerate: see /scripts/fetch/eht_m87.md
# Real source: EHT Collaboration et al. (2019) ApJL 875, L1; ESO release eso1907a
# Schema: x_uas, y_uas, intensity (normalized, 0..1). FoV 100.0 μas
# Grid: 200x200 cells, 40000 pixels
x_uas,y_uas,intensity
15.327,48.995,0.0431
15.829,48.995,0.0431
16.332,48.995,0.0431
16.834,48.995,0.0431
17.337,48.995,0.0431
17.839,48.995,0.0431
18.342,48.995,0.0431
18.844,48.995,0.0431
19.347,48.995,0.0431
19.849,48.995,0.0431
20.352,48.995,0.0431
20.854,48.995,0.0392
21.357,48.995,0.0431
21.859,48.995,0.0431
22.362,48.995,0.0431
22.864,48.995,0.0431
23.367,48.995,0.0431
23.869,48.995,0.0431
24.372,48.995,0.0431
24.874,48.995,0.0431
25.377,48.995,0.0431
25.879,48.995,0.0392
26.382,48.995,0.0431
26.884,48.995,0.0431
27.387,48.995,0.0431
27.889,48.995,0.0431
28.392,48.995,0.0431
28.894,48.995,0.0431
29.397,48.995,0.0431
29.899,48.995,0.0431
30.402,48.995,0.0431
30.905,48.995,0.0431
31.407,48.995,0.0431
31.910,48.995,0.0431
32.412,48.995,0.0431
32.915,48.995,0.0431
33.417,48.995,0.0431
33.920,48.995,0.0431
34.422,48.995,0.0431
34.925,48.995,0.0431
35.427,48.995,0.0431
35.930,48.995,0.0431
36.432,48.995,0.0431
36.935,48.995,0.0431
37.437,48.995,0.0431
37.940,48.995,0.0431
38.442,48.995,0.0431
38.945,48.995,0.0431
39.447,48.995,0.0431
39.950,48.995,0.0431
40.452,48.995,0.0431
40.955,48.995,0.0431
41.457,48.995,0.0431
41.960,48.995,0.0431
42.462,48.995,0.0431
42.965,48.995,0.0431
43.467,48.995,0.0431
43.970,48.995,0.0431
44.472,48.995,0.0431
44.975,48.995,0.0431
45.477,48.995,0.0431
45.980,48.995,0.0431
46.482,48.995,0.0431
46.985,48.995,0.0431
47.487,48.995,0.0431
47.990,48.995,0.0431
48.492,48.995,0.0431
48.995,48.995,0.0431
49.497,48.995,0.0431
50.000,48.995,0.0431
-50.000,48.492,0.0431
-49.497,48.492,0.0431
-48.995,48.492,0.0392
-48.492,48.492,0.0431
-47.990,48.492,0.0392
-47.487,48.492,0.0431
-46.985,48.492,0.0431
-46.482,48.492,0.0431
-45.980,48.492,0.0431
-45.477,48.492,0.0431
-44.975,48.492,0.0431
-44.472,48.492,0.0392
-43.970,48.492,0.0431
-43.467,48.492,0.0431
-42.965,48.492,0.0392
-42.462,48.492,0.0431
-41.960,48.492,0.0431
-41.457,48.492,0.0431
-40.955,48.492,0.0431
