# REAL DATA, Pantheon+SH0ES (Brout et al. 2022)
# Fetched from: github.com/PantheonPlusSH0ES/DataRelease (Pantheon+SH0ES.dat)
# To replace or rebuild: see /scripts/fetch/pantheon.md
# Real source: Brout et al. (2022) ApJ 938, 110; doi:10.3847/1538-4357/ac8e04
# Schema: z (zHD, CMB+peculiar-v corrected redshift), mu (MU_SH0ES, mag), sigma (MU_SH0ES_ERR_DIAG, mag)
# Filter: IS_CALIBRATOR==0 & zHD >= 0.005 (1619 of 1701 SNe retained); sorted by z
z,mu,sigma
0.0282,35.317,0.173
0.0282,35.287,0.293
0.0282,35.506,0.163
0.0282,35.556,0.160
0.0282,35.558,0.161
0.0283,35.267,0.178
0.0284,35.342,0.157
0.0284,35.372,0.160
0.0285,35.105,0.182
0.0285,35.196,0.367
0.0285,35.291,0.178
0.0285,35.359,0.180
0.0285,35.437,0.180
0.0286,35.600,0.235
0.0286,35.660,0.251
0.0287,35.345,0.211
0.0287,35.410,0.202
0.0287,34.949,0.228
0.0289,35.276,0.655
0.0290,35.478,0.275
0.0290,35.056,0.219
0.0291,35.515,0.251
0.0291,35.695,0.183
0.0292,35.239,0.186
0.0292,35.602,0.170
0.0294,35.472,0.226
0.0294,35.622,0.300
0.0294,35.276,0.181
0.0295,35.094,0.273
0.0295,35.608,0.224
0.0295,35.364,0.284
0.0295,35.465,0.178
0.0296,35.506,0.191
0.0297,35.278,0.194
0.0298,35.502,0.190
0.0298,35.512,0.191
0.0299,35.435,0.185
0.0300,35.861,0.193
0.0301,35.476,0.233
0.0301,35.484,0.199
0.0301,35.520,0.196
0.0302,35.519,0.166
0.0303,35.554,0.216
0.0304,35.480,0.174
0.0305,35.535,0.258
0.0306,35.359,0.165
0.0307,35.352,0.343
0.0308,35.608,0.213
0.0308,35.465,0.279
0.0309,35.416,0.185
0.0309,35.493,0.166
0.0310,35.648,0.207
0.0311,35.337,0.375
0.0311,35.406,0.332
0.0311,35.922,0.399
0.0311,35.565,0.184
0.0311,35.541,0.185
0.0311,35.670,0.237
0.0312,35.588,0.169
0.0312,35.530,0.284
0.0312,35.667,0.175
0.0312,35.484,0.154
0.0312,35.496,0.176
0.0312,35.579,0.149
0.0312,35.743,0.227
0.0312,35.772,0.224
0.0312,35.787,0.217
0.0313,35.623,0.321
0.0314,35.560,0.186
0.0314,35.646,0.196
0.0315,35.912,0.274
0.0315,35.702,0.164
0.0315,35.707,0.221
0.0316,35.647,0.194
0.0316,35.685,0.188
0.0317,35.728,0.178
0.0319,35.459,0.276
0.0320,35.490,0.149
0.0324,35.675,0.202
0.0326,35.576,0.197
0.0326,35.856,0.259
0.0326,35.858,0.295
0.0326,35.666,0.275
0.0326,35.881,0.190
0.0326,35.908,0.198
0.0327,35.637,0.170
0.0327,35.643,0.148
0.0327,35.664,0.156
0.0328,35.633,0.204
0.0329,35.838,0.179
0.0329,35.725,0.154
0.0329,35.799,0.326
0.0330,35.732,0.220
0.0330,35.891,0.226
0.0330,35.616,0.168
0.0333,35.664,0.151
0.0333,35.727,0.163
0.0333,35.816,0.199
0.0334,35.852,0.144
0.0334,35.865,0.151
0.0337,35.780,0.160
0.0337,35.829,0.274
0.0338,36.023,0.243
0.0338,35.828,0.259
0.0339,35.909,0.177
0.0340,35.759,0.313
0.0343,35.919,0.207
0.0343,35.938,0.211
0.0344,35.784,0.217
0.0344,35.825,0.341
0.0345,35.976,0.358
0.0346,35.735,0.156
0.0348,35.857,0.206
0.0349,35.912,0.166
0.0351,35.882,0.169
0.0352,35.894,0.212
0.0352,35.801,0.483
0.0352,35.804,0.482
0.0352,35.835,0.334
0.0353,35.861,0.169
0.0355,35.990,0.375
0.0357,36.234,0.188
0.0358,35.959,0.225
0.0358,36.154,0.230
0.0358,35.932,0.204
0.0358,35.551,0.204
0.0360,35.991,0.187
0.0362,35.859,0.223
0.0362,36.184,0.187
0.0364,36.004,0.185
0.0368,35.884,0.185
0.0368,35.928,0.157
0.0370,36.075,0.289
0.0370,35.806,0.308
0.0370,35.929,0.318
0.0370,36.069,0.175
0.0370,36.080,0.337
0.0370,35.964,0.167
0.0371,36.047,0.166
0.0372,35.993,0.149
0.0372,36.007,0.135
0.0373,35.870,0.190
0.0374,35.979,0.164
0.0375,35.949,0.263
0.0376,36.218,0.171
0.0376,36.333,0.171
0.0379,36.006,0.207
0.0379,36.062,0.163
0.0380,36.089,0.199
0.0382,35.862,0.153
0.0382,35.894,0.152
0.0383,36.114,0.236
0.0383,36.518,0.246
0.0385,36.225,0.311
0.0385,36.256,0.150
0.0387,36.013,0.170
0.0388,36.026,0.220
0.0390,36.013,0.205
0.0391,36.196,0.221
0.0391,36.212,0.184
0.0401,36.284,0.148
0.0403,36.549,0.235
0.0406,36.017,0.143
0.0406,36.082,0.145
0.0408,35.992,0.210
0.0409,36.126,0.169
0.0410,36.410,0.307
0.0410,36.040,0.147
0.0410,36.315,0.151
0.0417,36.560,0.280
0.0422,36.210,0.208
0.0426,36.511,0.426
0.0427,35.914,0.294
0.0427,36.293,0.151
0.0428,36.207,0.167
0.0428,36.252,0.176
0.0429,36.202,0.163
0.0431,36.246,0.207
0.0435,36.214,0.152
0.0435,36.288,0.167
0.0435,36.416,0.166
0.0437,36.259,0.178
0.0441,36.330,0.181
0.0444,36.547,0.231
0.0444,36.292,0.249
0.0444,36.551,0.271
0.0446,36.511,0.286
0.0449,36.456,0.162
0.0452,36.687,0.305
0.0454,36.454,0.196
0.0457,36.463,0.174
0.0457,36.514,0.152
0.0458,36.158,0.183
0.0459,36.381,0.196
0.0462,36.264,0.218
0.0463,36.539,0.159
0.0464,36.325,0.195
0.0466,36.508,0.210
0.0466,36.471,0.194
0.0468,36.479,0.148
0.0468,36.486,0.183
0.0469,36.758,0.281
0.0474,36.564,0.229
0.0476,36.601,0.162
0.0478,36.563,0.209
0.0478,36.595,0.145
0.0482,36.498,0.166
0.0484,36.373,0.155
0.0486,36.330,0.136
0.0486,36.641,0.181
0.0493,36.600,0.203
0.0494,36.469,0.177
0.0494,36.583,0.168
0.0498,36.640,0.244
0.0499,36.471,0.186
0.0502,36.569,0.156
0.0502,36.858,0.163
0.0503,36.540,0.453
0.0504,36.462,0.202
0.0505,36.546,0.191
0.0505,36.704,0.133
0.0507,36.852,0.303
0.0511,36.880,0.168
0.0513,36.393,0.201
0.0515,36.586,0.157
0.0519,36.776,0.228
0.0520,36.543,0.299
0.0520,36.868,0.208
0.0522,36.841,0.218
0.0526,36.914,0.208
0.0531,36.775,0.162
0.0532,36.847,0.172
0.0535,36.863,0.134
0.0547,36.833,0.179
0.0547,36.858,0.150
0.0550,36.643,0.175
0.0554,36.868,0.194
0.0561,36.811,0.193
0.0565,36.910,0.185
0.0569,37.039,0.176
0.0571,36.990,0.171
0.0573,37.069,0.221
0.0582,36.932,0.147
0.0582,36.982,0.138
0.0583,36.955,0.183
0.0589,36.980,0.216
0.0589,37.146,0.253
0.0597,36.300,0.618
0.0609,37.032,0.178
0.0610,37.163,0.124
0.0610,37.193,0.161
0.0612,37.138,0.198
0.0614,36.961,0.196
0.0614,36.969,0.142
0.0615,37.075,0.183
0.0637,37.352,0.207
0.0638,37.020,0.156
0.0645,37.079,0.154
0.0653,37.085,0.153
0.0663,37.362,0.203
0.0665,37.163,0.296
0.0671,37.424,0.194
0.0673,37.234,0.203
0.0679,37.493,0.190
0.0684,37.238,0.191
0.0689,37.421,0.159
0.0690,37.282,0.174
0.0702,37.294,0.278
0.0706,37.278,0.212
0.0706,37.296,0.227
0.0707,37.479,0.176
0.0708,37.481,0.447
0.0709,37.454,0.248
0.0709,37.729,0.502
0.0709,37.371,0.228
0.0712,37.355,0.196
0.0716,37.249,0.161
0.0717,37.416,0.209
0.0719,37.562,0.181
0.0722,37.632,0.200
0.0725,37.623,0.305
0.0739,37.553,0.177
0.0744,37.435,0.222
0.0745,37.450,0.192
0.0752,37.476,0.180
0.0752,37.566,0.155
0.0756,37.814,0.289
0.0757,37.546,0.217
0.0759,37.634,0.198
0.0785,37.572,0.150
0.0786,37.831,0.146
0.0788,38.015,0.239
0.0788,38.094,0.180
0.0790,37.599,0.503
0.0791,37.784,0.238
0.0793,37.530,0.147
0.0799,37.600,0.158
0.0801,37.667,0.119
0.0817,37.721,0.220
0.0824,37.819,0.218
0.0828,37.677,0.266
0.0831,37.994,0.195
0.0841,37.969,0.222
0.0857,37.841,0.129
0.0870,37.848,0.217
0.0887,37.777,0.253
0.0904,37.920,0.217
0.0909,38.027,0.168
0.0921,38.160,0.266
0.0929,38.223,0.493
0.0995,38.438,0.195
0.1017,38.298,0.166
0.1022,38.408,0.187
0.1025,38.251,0.200
0.1029,38.181,0.186
0.1036,38.334,0.126
